ccaa,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
Andalucía,almacenamiento,Con permisos,RdD,817.0,1617.0
Andalucía,almacenamiento,Con permisos,RdT,941.0,4255.0
Andalucía,almacenamiento,En curso,RdD,80.1,101.32
Andalucía,almacenamiento,En curso,RdT,1186.56,1270.67
Andalucía,almacenamiento,Puesta en servicio,RdD,,0.6
Andalucía,almacenamiento,Puesta en servicio,RdT,,28.78
Andalucía,bombeo,Con permisos,RdD,,
Andalucía,bombeo,Con permisos,RdT,356.0,356.0
Andalucía,bombeo,En curso,RdD,,
Andalucía,bombeo,En curso,RdT,150.0,150.0
Andalucía,bombeo,Puesta en servicio,RdD,,
Andalucía,bombeo,Puesta en servicio,RdT,570.0,584.87
Andalucía,eolica,Con permisos,RdD,207.0,468.0
Andalucía,eolica,Con permisos,RdT,1002.0,1351.0
Andalucía,eolica,En curso,RdD,146.18,146.18
Andalucía,eolica,En curso,RdT,516.1,534.53
Andalucía,eolica,Puesta en servicio,RdD,823.81,1071.51
Andalucía,eolica,Puesta en servicio,RdT,1782.47,2530.02
Andalucía,fotovoltaica,Con permisos,RdD,3419.0,4239.0
Andalucía,fotovoltaica,Con permisos,RdT,5920.0,9795.0
Andalucía,fotovoltaica,En curso,RdD,1692.3,1547.7
Andalucía,fotovoltaica,En curso,RdT,1270.47,1921.25
Andalucía,fotovoltaica,Puesta en servicio,RdD,2463.02,3320.24
Andalucía,fotovoltaica,Puesta en servicio,RdT,4479.78,8306.39
Andalucía,hibridacion,Con permisos,RdD,463.0,
Andalucía,hibridacion,Con permisos,RdT,1748.0,
Andalucía,hibridacion,En curso,RdD,36.2,
Andalucía,hibridacion,En curso,RdT,429.2,
Andalucía,hibridacion,Puesta en servicio,RdD,788.18,
Andalucía,hibridacion,Puesta en servicio,RdT,3850.97,
Andalucía,hidraulica,Puesta en servicio,RdD,15.72,16.88
Andalucía,hidraulica,Puesta en servicio,RdT,,34.1
Andalucía,otras,Con permisos,RdD,53.0,67.0
Andalucía,otras,Con permisos,RdT,,
Andalucía,otras,En curso,RdD,,
Andalucía,otras,En curso,RdT,2286.16,2706.63
Andalucía,otras,Puesta en servicio,RdD,1546.42,1556.41
Andalucía,otras,Puesta en servicio,RdT,5770.67,6762.2
Andalucía,termosolar,Con permisos,RdD,,31.0
Andalucía,termosolar,Con permisos,RdT,,
Andalucía,termosolar,Puesta en servicio,RdD,266.9,266.9
Andalucía,termosolar,Puesta en servicio,RdT,549.6,699.6
Aragón,almacenamiento,Con permisos,RdD,,495.0
Aragón,almacenamiento,Con permisos,RdT,209.0,1583.0
Aragón,almacenamiento,En curso,RdD,,
Aragón,almacenamiento,En curso,RdT,710.89,741.89
